"","Ref ID","Study design","Intervention name (full)","Total N","n of events"
"402",19,"Randomized clinical trial","Placebo","1065",NA
"403",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","45","1"
"404",19,"Randomized clinical trial","Placebo","50","1"
"405",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","45","1"
"406",19,"Randomized clinical trial","Placebo","50","1"
"407",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","45",NA
"408",19,"Randomized clinical trial","Placebo","50",NA
"409",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","45",NA
"410",19,"Randomized clinical trial","Placebo","50",NA
"411",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","1750","4"
"412",19,"Randomized clinical trial","Placebo","1788","71"
"413",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","1802","4"
"414",19,"Randomized clinical trial","Placebo","1834","71"
"415",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","1750",NA
"416",19,"Randomized clinical trial","Placebo","1788",NA
"417",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","1802",NA
"418",19,"Randomized clinical trial","Placebo","1834",NA
"419",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","1091","3"
"420",19,"Randomized clinical trial","Placebo","1084","40"
"421",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","1119","3"
"422",19,"Randomized clinical trial","Placebo","1103","40"
"423",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","1091",NA
"424",19,"Randomized clinical trial","Placebo","1084",NA
"425",19,"Randomized clinical trial","2 doses of BNT162b2 vaccine","1119",NA
"426",19,"Randomized clinical trial","Placebo","1103",NA
"427",30,"Retrospective cohort study","1 dose of BNT162b2 vaccine, Partially vaccinated","1514","NR"
"428",30,"Retrospective cohort study","2 doses of BNT162b2 vaccine","17636","466"
"429",30,"Retrospective cohort study","3 doses of BNT162b2 vaccine","15102","22"
"430",30,"Retrospective cohort study","No dose","55893","4169"
"431",30,"Retrospective cohort study","1 dose of BNT162b2 vaccine","1514","NR"
"432",30,"Retrospective cohort study","2 doses of BNT162b2 vaccine","17636","91"
"433",30,"Retrospective cohort study","3 doses of BNT162b2 vaccine","15102","6"
"434",30,"Retrospective cohort study","No dose","55893","998"
"435",30,"Retrospective cohort study","2 doses of BNT162b2 vaccine","NR","NR"
"436",30,"Retrospective cohort study","2 doses of BNT162b2 vaccine","NR","NR"
"437",30,"Retrospective cohort study","2 doses of BNT162b2 vaccine","NR","NR"
"438",30,"Retrospective cohort study","2 doses of BNT162b2 vaccine","NR","NR"
"439",30,"Retrospective cohort study","2 doses of BNT162b2 vaccine","NR","NR"
"440",30,"Retrospective cohort study","2 doses of BNT162b2 vaccine","NR","NR"
"441",30,"Retrospective cohort study","3 doses of BNT162b2 vaccine","NR","NR"
"442",30,"Retrospective cohort study","3 doses of BNT162b2 vaccine","NR","NR"
"443",30,"Retrospective cohort study","3 doses of BNT162b2 vaccine","NR","NR"
"444",30,"Retrospective cohort study","3 doses of BNT162b2 vaccine","NR","NR"
"445",30,"Retrospective cohort study","3 doses of BNT162b2 vaccine","NR","NR"
"446",30,"Retrospective cohort study","3 doses of BNT162b2 vaccine","NR","NR"
"447",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","*1428","*143"
"448",105,"Retrospective cohort study","Unvaccinated","*1428","*143"
"449",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","29"
"450",105,"Retrospective cohort study","Unvaccinated","33","16"
"451",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","5"
"452",105,"Retrospective cohort study","Unvaccinated","33","6"
"453",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","NR"
"454",105,"Retrospective cohort study","Unvaccinated","33","NR"
"455",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","2"
"456",105,"Retrospective cohort study","Unvaccinated","33","3"
"457",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","0"
"458",105,"Retrospective cohort study","Unvaccinated","33","8"
"459",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","5"
"460",105,"Retrospective cohort study","Unvaccinated","33","2"
"461",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","48"
"462",105,"Retrospective cohort study","Unvaccinated","33","3"
"463",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","5"
"464",105,"Retrospective cohort study","Unvaccinated","33","0"
"465",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","0"
"466",105,"Retrospective cohort study","Unvaccinated","33","6"
"467",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","1"
"468",105,"Retrospective cohort study","Unvaccinated","33","1"
"469",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","14"
"470",105,"Retrospective cohort study","Unvaccinated","33","1"
"471",105,"Retrospective cohort study","2 dose of BNT162b2 vaccine","110","0"
"472",105,"Retrospective cohort study","Unvaccinated","33","0"
"473",1435,"Retrospective cohort study","Unvaccinated","28374","4933"
"474",1435,"Retrospective cohort study","BNT162b2","27129","2714"
"475",1435,"Retrospective cohort study","Unvaccinated",NA,NA
"476",1435,"Retrospective cohort study","BNT162b2",NA,NA
"477",1435,"Retrospective cohort study","Unvaccinated","14640","2829"
"478",1435,"Retrospective cohort study","BNT162b2","16418","1799"
"479",1435,"Retrospective cohort study","Unvaccinated","13734","2104"
"480",1435,"Retrospective cohort study","BNT162b2","10711","915"
"481",1435,"Retrospective cohort study","Unvaccinated","*28374","4118"
"482",1435,"Retrospective cohort study","BNT162b2","*27129","1554"
"483",1435,"Retrospective cohort study","Unvaccinated","*28374","815"
"484",1435,"Retrospective cohort study","BNT162b2","*27129","1160"
"485",1435,"Retrospective cohort study","Unvaccinated","946","290"
"486",1435,"Retrospective cohort study","BNT162b2","688","133"
"487",1435,"Retrospective cohort study","Unvaccinated",NA,NA
"488",1435,"Retrospective cohort study","BNT162b2",NA,NA
"489",1435,"Retrospective cohort study","Unvaccinated","399","70"
"490",1435,"Retrospective cohort study","BNT162b2","698","91"
"491",1435,"Retrospective cohort study","Unvaccinated",NA,NA
"492",1435,"Retrospective cohort study","BNT162b2",NA,NA
"493",1435,"Retrospective cohort study","Unvaccinated","*28374","2335"
"494",1435,"Retrospective cohort study","BNT162b2","*27129","1072"
"495",1435,"Retrospective cohort study","Unvaccinated","*28374","2598"
"496",1435,"Retrospective cohort study","BNT162b2","*27129","1642"
"497",1435,"Retrospective cohort study","Unvaccinated","*28374","3920"
"498",1435,"Retrospective cohort study","BNT162b2","*27129","1891"
"499",1435,"Retrospective cohort study","Unvaccinated","*28374","4933"
"500",1435,"Retrospective cohort study","BNT162b2","*27129","620"
"501",1435,"Retrospective cohort study","Unvaccinated","28374","1488"
"502",1435,"Retrospective cohort study","BNT162b2","27129","293"
"503",1435,"Retrospective cohort study","Unvaccinated","28374","1488"
"504",1435,"Retrospective cohort study","BNT162b2","27129","293"
"505",1435,"Retrospective cohort study","Unvaccinated","14640","882"
"506",1435,"Retrospective cohort study","BNT162b2","16418","195"
"507",1435,"Retrospective cohort study","Unvaccinated","13734","606"
"508",1435,"Retrospective cohort study","BNT162b2","10711","98"
"509",1435,"Retrospective cohort study","Unvaccinated","*28374","1233"
"510",1435,"Retrospective cohort study","BNT162b2","*27129","177"
"511",1435,"Retrospective cohort study","Unvaccinated","*28374","255"
"512",1435,"Retrospective cohort study","BNT162b2","*27129","116"
"513",1435,"Retrospective cohort study","Unvaccinated","946","178"
"514",1435,"Retrospective cohort study","BNT162b2","688","84"
"515",1435,"Retrospective cohort study","Unvaccinated",NA,NA
"516",1435,"Retrospective cohort study","BNT162b2",NA,NA
"517",1435,"Retrospective cohort study","Unvaccinated","399","23"
"518",1435,"Retrospective cohort study","BNT162b2","698","17"
"519",1435,"Retrospective cohort study","Unvaccinated",NA,NA
"520",1435,"Retrospective cohort study","BNT162b2",NA,NA
"521",1435,"Retrospective cohort study","Unvaccinated","*28374","707"
"522",1435,"Retrospective cohort study","BNT162b2","*27129","112"
"523",1435,"Retrospective cohort study","Unvaccinated","*28374","781"
"524",1435,"Retrospective cohort study","BNT162b2","*27129","181"
"525",1435,"Retrospective cohort study","Unvaccinated","*28374","1250"
"526",1435,"Retrospective cohort study","BNT162b2","*27129","263"
"527",1435,"Retrospective cohort study","Unvaccinated","*28374","1488"
"528",1435,"Retrospective cohort study","BNT162b2","*27129","52"
"529",1435,"Retrospective cohort study","Unvaccinated","28374","792"
"530",1435,"Retrospective cohort study","BNT162b2","27129","49"
"531",1435,"Retrospective cohort study","Unvaccinated","28374","792"
"532",1435,"Retrospective cohort study","BNT162b2","27129","49"
"533",1435,"Retrospective cohort study","Unvaccinated","14640","506"
"534",1435,"Retrospective cohort study","BNT162b2","16418","34"
"535",1435,"Retrospective cohort study","Unvaccinated","13734","286"
"536",1435,"Retrospective cohort study","BNT162b2","10711","15"
"537",1435,"Retrospective cohort study","Unvaccinated","*28374","739"
"538",1435,"Retrospective cohort study","BNT162b2","*27129","39"
"539",1435,"Retrospective cohort study","Unvaccinated","*28374","53"
"540",1435,"Retrospective cohort study","BNT162b2","*27129","10"
"541",1435,"Retrospective cohort study","Unvaccinated","946","42"
"542",1435,"Retrospective cohort study","BNT162b2","688","9"
"543",1435,"Retrospective cohort study","Unvaccinated",NA,NA
"544",1435,"Retrospective cohort study","BNT162b2",NA,NA
"545",1435,"Retrospective cohort study","Unvaccinated","399","5"
"546",1435,"Retrospective cohort study","BNT162b2","698","3"
"547",1435,"Retrospective cohort study","Unvaccinated",NA,NA
"548",1435,"Retrospective cohort study","BNT162b2",NA,NA
"549",1435,"Retrospective cohort study","Unvaccinated","*28374","392"
"550",1435,"Retrospective cohort study","BNT162b2","*27129","20"
"551",1435,"Retrospective cohort study","Unvaccinated","*28374","400"
"552",1435,"Retrospective cohort study","BNT162b2","*27129","29"
"553",1435,"Retrospective cohort study","Unvaccinated","*28374","653"
"554",1435,"Retrospective cohort study","BNT162b2","*27129","47"
"555",1435,"Retrospective cohort study","Unvaccinated","*28374","792"
"556",1435,"Retrospective cohort study","BNT162b2","*27129","5"
